Age,Motor skill label,Motor skill sequence,Infant ID,Early-mid gestation PreGC,Early-mid gestation FA,nPostGC,nPostnatal FA,Maternal protectiveness,Maternal rejectiveness,nSocial play (% of time),Growth rate,Sex of the offspring,Year of birth,,,
in days,,,,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,,,
72,MS14,14,ozo,-0.384,0.309,0.002,-0.974,-0.729,0.682,0.661,-0.230,0.925,-0.903,,,
91,MS14,14,kwo,2.266,-1.347,0.267,1.065,-0.378,-0.459,-0.838,-0.322,0.925,1.100,,,
98,MS14,14,luc,0.621,-1.284,1.058,0.974,0.692,-0.607,-0.326,-0.377,0.925,1.100,,,
61,MS15,15,mok,-0.240,-0.314,1.797,0.486,-1.260,-1.317,-0.690,1.366,0.925,1.100,,,
62,MS15,15,iri,1.084,0.174,1.264,-1.000,-0.739,0.682,0.922,0.250,0.925,-0.903,,,
74,MS15,15,ozo,-0.384,0.309,-0.284,-0.976,-0.729,0.682,0.758,-0.230,0.925,-0.903,,,
74.5,MS15,15,tao,-0.905,1.400,-0.846,-0.809,-0.308,0.328,-0.524,-0.380,0.925,-0.903,,,
103,MS15,15,luc,0.621,-1.284,1.058,0.925,0.692,-0.607,-0.749,-0.377,0.925,1.100,,,
120,MS15,15,kwo,2.266,-1.347,0.267,1.027,-0.378,-0.459,-0.838,-0.322,0.925,1.100,,,
45.5,MS16,16,tao,-0.905,1.400,-0.846,-0.817,-0.308,0.328,-0.524,-0.380,0.925,-0.903,,,
62,MS16,16,iri,1.084,0.174,1.264,-0.997,-0.739,0.682,0.922,0.250,0.925,-0.903,,,
74,MS16,16,ozo,-0.384,0.309,0.044,-0.977,-0.729,0.682,0.703,-0.230,0.925,-0.903,,,
100,MS16,16,mok,-0.240,-0.314,1.797,0.494,-1.260,-1.317,-0.698,1.366,0.925,1.100,,,
103,MS16,16,luc,0.621,-1.284,1.058,0.939,0.692,-0.607,-0.365,-0.377,0.925,1.100,,,
120,MS16,16,kwo,2.266,-1.347,0.267,1.037,-0.378,-0.459,-0.838,-0.322,0.925,1.100,,,
100.5,MS17,17,tao,-0.905,1.400,-0.613,-0.894,-0.308,0.328,2.870,-0.380,0.925,-0.903,,,
101,MS17,17,iri,1.084,0.174,2.926,-0.912,-0.739,0.682,1.775,0.250,0.925,-0.903,,,
105,MS17,17,mok,-0.240,-0.314,0.903,0.761,-1.260,-1.317,-0.646,1.366,0.925,1.100,,,
130,MS17,17,luc,0.621,-1.284,1.058,1.180,0.692,-0.607,0.093,-0.377,0.925,1.100,,,
131,MS17,17,ozo,-0.384,0.309,0.002,-0.906,-0.729,0.682,1.239,-0.230,0.925,-0.903,,,
174,MS17,17,kwo,2.266,-1.347,0.188,1.292,-0.378,-0.459,-0.738,-0.322,0.925,1.100,,,
89.5,MS18,18,tao,-0.905,1.400,-0.613,-0.893,-0.308,0.328,2.870,-0.380,0.925,-0.903,,,
103,MS18,18,iri,1.084,0.174,2.926,-0.910,-0.739,0.682,1.745,0.250,0.925,-0.903,,,
115,MS18,18,mok,-0.240,-0.314,0.903,0.767,-1.260,-1.317,-0.655,1.366,0.925,1.100,,,
129,MS18,18,ozo,-0.384,0.309,0.002,-0.905,-0.729,0.682,1.239,-0.230,0.925,-0.903,,,
130,MS18,18,luc,0.621,-1.284,1.058,1.188,0.692,-0.607,0.093,-0.377,0.925,1.100,,,
131,MS18,18,kwo,2.266,-1.347,0.188,1.300,-0.378,-0.459,-0.738,-0.322,0.925,1.100,,,
91,MS19,19,iri,1.084,0.174,2.926,-0.924,-0.739,0.682,1.706,0.250,0.925,-0.903,,,
99.5,MS19,19,tao,-0.905,1.400,-0.747,-0.896,-0.308,0.328,2.510,-0.380,0.925,-0.903,,,
103,MS19,19,luc,0.621,-1.284,1.058,1.118,0.692,-0.607,0.109,-0.377,0.925,1.100,,,
122,MS19,19,mok,-0.240,-0.314,1.103,0.710,-1.260,-1.317,-0.637,1.366,0.925,1.100,,,
130,MS19,19,ozo,-0.384,0.309,0.002,-0.921,-0.729,0.682,1.255,-0.230,0.925,-0.903,,,
138,MS19,19,kwo,2.266,-1.347,0.188,1.226,-0.378,-0.459,-0.738,-0.322,0.925,1.100,,,
