Body size index,Age,Age,Early-mid gestation PreGC,PreGC throughout gestation,Early gestation PreGC,Mid gestation PreGC,Late gestation PreGC,Early-mid gestation FA,FA throughout gestation,nPostnatal FA,Maternal protectiveness,Maternal rejectiveness,nSocial play (% of time),Sex of the offspring,PostGC,Year of birth,Infant ID
687.3528674,175.6666667,-0.762,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,-0.795,-1.854,-1.541,2.346,0.967,-1.051,-0.367,mii
669.099951,200,-0.617,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,-0.783,-1.854,-1.541,2.124,0.967,-1.051,-0.367,mii
777.5484415,249.7142857,-0.320,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,-0.673,-1.854,-1.541,1.681,0.967,-1.051,-0.367,mii
884.4448675,263,-0.241,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,-0.617,-1.854,-1.541,1.088,0.967,-1.051,-0.367,mii
873.7143315,324.1666667,0.124,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,-0.508,-1.854,-1.541,1.015,0.967,-1.051,-0.367,mii
938.4758368,361,0.344,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,-0.589,-1.854,-1.541,0.853,0.967,-1.051,-0.367,mii
1036.738194,397.6666667,0.563,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,-0.490,-1.854,-1.541,0.812,0.967,-1.051,-0.367,mii
983.3297959,430.75,0.760,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,-0.379,-1.854,-1.541,0.529,0.967,-1.051,-0.367,mii
1074.046671,456.4,0.913,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,-0.296,-1.854,-1.541,0.257,0.967,-1.051,-0.367,mii
1023.070489,489.1428571,1.109,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,-0.130,-1.854,-1.541,0.072,0.967,-1.051,-0.367,mii
1168.056212,508,1.221,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,-0.031,-1.854,-1.541,0.056,0.967,-1.051,-0.367,mii
